ID,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26
86524,Slightly disagree,Strongly disagree,Slightly disagree,Strongly agree,Slightly agree,Slightly disagree,Slightly disagree,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,Strongly agree,Slightly disagree,Slightly agree,Slightly disagree,Slightly disagree,Strongly agree,Slightly agree,Slightly agree,Slightly agree
88275,Slightly agree,Slightly disagree,Slightly disagree,Strongly agree,Slightly agree,Strongly agree,Slightly disagree,Slightly disagree,Strongly disagree,Strongly agree,Slightly agree,Slightly agree,Strongly disagree,Slightly disagree,Strongly agree,Strongly agree,Slightly disagree,Slightly agree,Strongly disagree,Strongly agree,Slightly disagree,Slightly disagree,Strongly disagree,Strongly disagree,Strongly agree,Slightly agree
39923,Strongly agree,Slightly agree,Strongly agree,Slightly agree,Strongly agree,Slightly agree,Strongly agree,Slightly agree,Strongly agree,Slightly agree,Strongly agree,Slightly agree,Strongly agree,Slightly agree,Strongly agree,Slightly agree,Strongly agree,Slightly agree,Strongly agree,Slightly agree,Strongly agree,Slightly agree,Strongly agree,Slightly agree,Strongly agree,Slightly agree
52556,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,Slightly disagree,Slightly disagree,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,Slightly agree,Slightly disagree,Slightly disagree,Slightly agree,Slightly disagree,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,Slightly agree,Strongly agree,Slightly agree,Slightly agree,Strongly agree,Slightly agree
39199,Slightly agree,Slightly agree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly agree,Strongly disagree,Slightly disagree,Slightly disagree,Strongly disagree,Slightly disagree,Strongly disagree,Slightly disagree,Strongly disagree,Slightly disagree,Strongly disagree,Slightly disagree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree
63191,Slightly agree,Slightly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Slightly agree,Slightly agree,Strongly agree,Slightly agree,Strongly agree,Slightly agree,Strongly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Strongly agree,Slightly agree,Strongly agree,Slightly agree,Slightly agree,Strongly agree,Slightly agree,Slightly agree,Strongly agree
30173,Slightly agree,Strongly disagree,Strongly disagree,Strongly disagree,Slightly agree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly agree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly agree,Slightly disagree
80319,Slightly disagree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly agree,Slightly disagree,Slightly disagree,Slightly agree,Slightly disagree,Slightly disagree,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,Slightly agree
27644,Slightly agree,Slightly disagree,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,Strongly agree,Slightly agree,Slightly agree,Slightly agree,Slightly disagree,Strongly agree,Slightly agree,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Slightly disagree,Strongly agree,Slightly agree,Strongly agree,Strongly agree,Slightly agree,Strongly agree,Slightly agree,Strongly agree
48960,Slightly disagree,Strongly agree,Slightly agree,Strongly agree,Slightly agree,Strongly agree,Slightly agree,Slightly agree,Slightly agree,Strongly agree,Slightly agree,Strongly agree,Slightly disagree,Strongly agree,Strongly disagree,Strongly agree,Slightly agree,Strongly agree,Slightly disagree,Strongly agree,Slightly agree,Slightly agree,Strongly agree,Slightly agree,Strongly agree,Slightly agree
86189,Strongly disagree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly disagree,Slightly disagree,Slightly disagree,Strongly agree,Slightly disagree,Slightly disagree,Strongly disagree,Slightly disagree,Slightly agree,Slightly agree,Slightly agree,Strongly agree,Slightly disagree,Slightly agree,Strongly disagree,Strongly agree,Slightly agree,Strongly disagree,Slightly disagree,Strongly disagree,Slightly disagree
36048,Strongly disagree,Strongly disagree,Slightly disagree,Strongly disagree,Strongly disagree,Strongly agree,Slightly disagree,Strongly disagree,Slightly disagree,Strongly disagree,Strongly disagree,Slightly disagree,Strongly disagree,Slightly disagree,Slightly disagree,Strongly disagree,Strongly disagree,Slightly disagree,Slightly disagree,Strongly disagree,Strongly disagree,Slightly disagree,Strongly disagree,Strongly disagree,Slightly disagree,Strongly disagree
62216,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Slightly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree
87011,Slightly agree,Strongly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Strongly agree,Slightly agree,Slightly agree,Strongly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Strongly agree,Slightly agree,Slightly agree,Strongly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Strongly agree
58853,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Slightly disagree,Strongly disagree,Strongly disagree,Slightly disagree,Strongly disagree,Strongly disagree,Slightly agree,Slightly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree
87315,Slightly disagree,Strongly agree,Slightly agree,Strongly agree,Slightly disagree,Slightly agree,Slightly disagree,Strongly agree,Slightly disagree,Strongly agree,Slightly agree,Strongly agree,Strongly disagree,Slightly agree,Strongly agree,Slightly disagree,Slightly agree,Strongly disagree,Strongly agree,Slightly agree,Slightly agree,Strongly agree,Slightly disagree,Slightly agree,Slightly disagree,Strongly agree
63302,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Slightly agree,Strongly agree,Strongly agree,Strongly agree,Slightly disagree,Slightly disagree,Slightly agree,Slightly disagree,Slightly agree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly disagree,Strongly agree,Strongly agree,Strongly agree,Slightly disagree
44613,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Strongly disagree,Slightly agree,Slightly disagree,Strongly disagree,Slightly disagree,Slightly disagree,Slightly disagree,Strongly disagree,Slightly disagree,Slightly agree,Slightly agree,Strongly disagree,Slightly agree,Strongly disagree,Slightly agree,Strongly disagree,Strongly disagree,Slightly agree,Strongly disagree,Strongly agree,Slightly agree,Slightly agree
20036,Slightly agree,Strongly disagree,Strongly disagree,Slightly disagree,Strongly disagree,Slightly agree,Slightly disagree,Strongly disagree,Slightly agree,Strongly disagree,Slightly disagree,Slightly disagree,Strongly disagree,Slightly agree,Slightly agree,Strongly disagree,Strongly disagree,Strongly disagree,Slightly disagree,Strongly disagree,Slightly disagree,Slightly agree,Strongly disagree,Slightly agree,Strongly agree,Strongly agree
25414,Strongly agree,Strongly agree,Slightly agree,Strongly disagree,Slightly disagree,Slightly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Slightly agree,Strongly agree,Strongly agree,Slightly agree,Slightly agree,Slightly agree,Strongly agree,Strongly agree,Slightly agree,Strongly disagree,Slightly agree,Slightly agree,Slightly agree,Slightly disagree,Slightly disagree,Strongly agree
82239,Strongly agree,Strongly agree,Slightly agree,Slightly agree,Strongly agree,Strongly agree,Slightly agree,Strongly agree,Slightly agree,Strongly agree,Slightly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Slightly agree,Slightly agree,Slightly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Slightly agree,Slightly agree,Strongly agree,Strongly agree
18007,Strongly agree,Slightly agree,Slightly disagree,Slightly agree,Strongly agree,Slightly agree,Slightly disagree,Slightly agree,Strongly agree,Slightly agree,Slightly disagree,Slightly agree,Strongly agree,Slightly agree,Slightly disagree,Slightly agree,Strongly agree,Slightly agree,Slightly disagree,Slightly agree,Strongly agree,Slightly agree,Slightly disagree,Slightly agree,Strongly agree,Slightly agree
25854,Strongly disagree,Slightly agree,Slightly disagree,Strongly agree,Strongly disagree,Strongly disagree,Slightly disagree,Slightly agree,Strongly disagree,Strongly agree,Strongly disagree,Slightly agree,Slightly disagree,Strongly agree,Slightly disagree,Strongly disagree,Slightly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Slightly agree,Strongly agree
72108,Slightly disagree,Slightly agree,Strongly disagree,Strongly agree,Slightly agree,Slightly disagree,Slightly agree,Strongly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Strongly disagree,Slightly disagree,Slightly agree,Strongly disagree,Slightly disagree,Strongly agree,Slightly agree,Strongly disagree,Slightly agree,Strongly agree,Slightly disagree,Slightly agree,Strongly agree,Slightly agree
65356,Strongly disagree,Slightly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Slightly agree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Slightly agree,Slightly disagree,Slightly disagree,Slightly disagree,Strongly disagree,Slightly agree,Slightly agree,Strongly disagree,Slightly agree,Strongly disagree,Strongly agree,Slightly agree,Slightly agree
47381,Strongly disagree,Slightly disagree,Strongly disagree,Slightly agree,Strongly disagree,Slightly disagree,Strongly disagree,Slightly disagree,Strongly disagree,Slightly agree,Strongly disagree,Slightly disagree,Strongly disagree,Slightly agree,Slightly disagree,Strongly disagree,Slightly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Slightly agree
80918,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly agree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly agree,Slightly agree,Slightly agree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly agree,Strongly agree,Slightly agree
59495,Slightly disagree,Slightly agree,Strongly disagree,Slightly disagree,Strongly disagree,Slightly agree,Slightly disagree,Slightly agree,Strongly agree,Slightly disagree,Strongly disagree,Slightly disagree,Strongly disagree,Slightly agree,Strongly agree,Strongly disagree,Slightly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Slightly agree,Strongly disagree,Slightly agree,Slightly agree,Strongly agree
32709,Slightly agree,Strongly agree,Slightly agree,Slightly disagree,Strongly agree,Slightly agree,Slightly disagree,Slightly agree,Slightly disagree,Slightly agree,Slightly disagree,Strongly agree,Slightly agree,Slightly disagree,Slightly agree,Strongly agree,Slightly agree,Slightly disagree,Strongly agree,Slightly agree,Slightly disagree,Strongly agree,Slightly agree,Strongly agree,Slightly agree,Strongly agree
32191,Slightly agree,Slightly agree,Strongly agree,Slightly agree,Strongly agree,Slightly agree,Slightly agree,Strongly agree,Strongly agree,Slightly agree,Slightly agree,Strongly agree,Slightly agree,Slightly agree,Strongly agree,Slightly agree,Slightly agree,Strongly agree,Slightly agree,Slightly agree,Strongly agree,Slightly agree,Slightly agree,Strongly agree,Strongly agree,Slightly agree
14139,Slightly disagree,Slightly agree,Slightly disagree,Strongly agree,Slightly agree,Slightly agree,Slightly disagree,Slightly disagree,Slightly agree,Slightly disagree,Slightly disagree,Slightly agree,Strongly agree,Slightly agree,Slightly disagree,Slightly disagree,Slightly agree,Slightly disagree,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,Slightly disagree,Slightly disagree,Slightly agree,Slightly agree
39399,Slightly agree,Slightly disagree,Strongly disagree,Slightly agree,Slightly disagree,Slightly agree,Strongly disagree,Strongly disagree,Slightly agree,Slightly disagree,Slightly disagree,Strongly disagree,Slightly disagree,Slightly agree,Slightly agree,Strongly disagree,Strongly disagree,Strongly disagree,Slightly agree,Strongly disagree,Strongly disagree,Strongly agree,Slightly disagree,Slightly agree,Strongly agree,Slightly agree
16075,Slightly agree,Slightly agree,Strongly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Strongly agree,Slightly agree,Strongly agree,Strongly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Strongly agree,Slightly agree,Slightly agree,Slightly agree,Strongly agree,Strongly agree,Strongly agree
79072,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree
29150,Slightly agree,Slightly disagree,Slightly agree,Strongly agree,Slightly agree,Slightly disagree,Slightly agree,Strongly agree,Slightly agree,Slightly disagree,Slightly agree,Strongly agree,Slightly agree,Slightly disagree,Slightly agree,Strongly agree,Slightly agree,Slightly disagree,Slightly agree,Strongly agree,Slightly agree,Slightly disagree,Slightly agree,Slightly disagree,Slightly agree,Strongly agree
70365,Slightly agree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,Slightly disagree,Slightly disagree,Slightly agree,Slightly agree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly agree,Slightly agree,Slightly disagree,Slightly disagree,Slightly agree,Slightly agree,Slightly disagree,Slightly disagree
25468,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,Slightly agree,Strongly agree,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Strongly agree,Slightly agree,Slightly agree,Strongly agree,Slightly agree,Slightly agree,Strongly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,Strongly agree,Slightly agree
49817,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree
72450,Strongly agree,Slightly agree,Strongly agree,Strongly disagree,Slightly agree,Strongly agree,Slightly agree,Strongly disagree,Slightly agree,Slightly agree,Strongly agree,Slightly agree,Slightly agree,Strongly agree,Slightly agree,Strongly agree,Slightly agree,Strongly agree,Slightly agree,Slightly agree,Strongly agree,Slightly agree,Strongly agree,Slightly disagree,Slightly agree,Strongly disagree
49515,Slightly agree,Strongly agree,Slightly agree,Strongly agree,Slightly agree,Strongly agree,Slightly agree,Strongly agree,Slightly agree,Slightly agree,Slightly agree,Strongly agree,Slightly agree,Strongly agree,Slightly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Slightly agree,Strongly agree,Slightly agree,Strongly agree,Slightly agree,Strongly agree,Strongly agree
46853,Strongly agree,Slightly agree,Slightly disagree,Slightly agree,Strongly agree,Slightly agree,Slightly disagree,Slightly agree,Strongly agree,Slightly agree,Slightly disagree,Slightly agree,Strongly agree,Slightly agree,Slightly disagree,Slightly agree,Strongly agree,Slightly agree,Slightly disagree,Slightly agree,Strongly agree,Slightly agree,Slightly disagree,Slightly agree,Strongly agree,Slightly agree
33434,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Strongly agree,Slightly agree,Strongly disagree,Slightly disagree,Slightly agree,Slightly disagree,Slightly agree,Slightly disagree,Strongly agree,Slightly agree,Strongly agree,Slightly disagree,Slightly disagree,Strongly disagree,Strongly disagree,Slightly disagree,Slightly agree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly agree
56623,Slightly disagree,Strongly disagree,Slightly agree,Slightly disagree,Strongly agree,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Slightly disagree,Strongly agree,Slightly agree,Slightly disagree,Slightly disagree,Strongly agree,Slightly agree,Slightly agree,Slightly disagree,Strongly agree,Slightly agree,Slightly agree,Slightly agree,Strongly disagree,Slightly disagree,Slightly agree,Slightly agree
29341,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Slightly disagree,Slightly disagree,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,Strongly disagree,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Slightly disagree
79646,Slightly disagree,Slightly agree,Slightly disagree,Strongly agree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly agree,Slightly disagree,Slightly agree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly agree,Slightly disagree,Slightly disagree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Strongly disagree,Slightly agree,Slightly agree,Slightly agree
31247,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Slightly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree
33566,Slightly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Slightly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree
46126,Slightly agree,Strongly agree,Strongly agree,Slightly agree,Strongly agree,Slightly agree,Slightly agree,Strongly agree,Slightly agree,Strongly agree,Strongly agree,Slightly agree,Strongly agree,Slightly agree,Strongly agree,Slightly agree,Strongly agree,Slightly agree,Slightly agree,Strongly agree,Slightly agree,Strongly agree,Slightly agree,Strongly agree,Slightly agree,Strongly agree
21418,Slightly agree,Strongly agree,Slightly agree,Slightly agree,Strongly agree,Slightly agree,Slightly agree,Strongly agree,Strongly agree,Slightly agree,Strongly agree,Slightly agree,Slightly agree,Strongly agree,Slightly agree,Slightly agree,Strongly agree,Slightly agree,Slightly agree,Slightly agree,Strongly agree,Slightly agree,Strongly agree,Strongly agree,Slightly agree,Slightly agree
78467,Strongly disagree,Strongly disagree,Strongly disagree,Slightly disagree,Strongly disagree,Slightly agree,Strongly disagree,Slightly disagree,Slightly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Slightly agree,Slightly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Slightly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree
22290,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Slightly disagree,Slightly agree,Strongly disagree,Slightly disagree,Strongly disagree,Strongly disagree,Slightly disagree,Strongly disagree,Slightly disagree,Strongly agree,Strongly agree,Strongly disagree,Slightly disagree,Strongly disagree,Strongly agree,Slightly agree,Strongly disagree,Slightly agree,Strongly disagree,Slightly agree,Strongly agree,Strongly agree
28763,Slightly agree,Strongly agree,Slightly agree,Slightly agree,Slightly agree,Strongly agree,Slightly agree,Slightly agree,Strongly agree,Slightly agree,Strongly agree,Slightly agree,Slightly agree,Strongly agree,Slightly agree,Slightly agree,Strongly agree,Slightly agree,Slightly agree,Strongly agree,Slightly disagree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly disagree
42797,Slightly agree,Strongly agree,Slightly disagree,Slightly agree,Slightly disagree,Strongly agree,Slightly agree,Strongly agree,Slightly agree,Slightly disagree,Strongly agree,Slightly agree,Strongly agree,Slightly agree,Slightly agree,Slightly disagree,Strongly agree,Slightly agree,Strongly agree,Slightly agree,Slightly disagree,Slightly agree,Slightly disagree,Strongly agree,Slightly agree,Strongly agree
66839,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Slightly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Slightly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Slightly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree
21245,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Slightly agree,Strongly disagree,Slightly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree
32908,Slightly agree,Slightly agree,Slightly agree,Strongly agree,Slightly agree,Strongly agree,Slightly agree,Slightly agree,Strongly agree,Slightly agree,Strongly agree,Slightly agree,Strongly agree,Slightly agree,Strongly agree,Slightly agree,Strongly agree,Slightly agree,Strongly agree,Slightly agree,Strongly agree,Slightly agree,Strongly agree,Slightly agree,Strongly agree,Strongly agree
85029,Slightly agree,Slightly agree,Slightly agree,Strongly agree,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,Strongly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Strongly agree,Slightly agree,Strongly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Strongly agree,Slightly disagree,Strongly disagree,Slightly agree,Strongly agree,Strongly agree
13769,Slightly agree,Strongly disagree,Strongly agree,Slightly disagree,Slightly agree,Strongly agree,Strongly disagree,Strongly disagree,Slightly agree,Strongly disagree,Slightly agree,Strongly disagree,Strongly disagree,Strongly agree,Slightly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Slightly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree
75631,Strongly agree,Slightly agree,Strongly agree,Slightly agree,Strongly agree,Slightly agree,Strongly agree,Slightly agree,Strongly agree,Slightly agree,Strongly agree,Slightly agree,Strongly agree,Slightly agree,Strongly agree,Slightly agree,Strongly agree,Slightly agree,Strongly agree,Slightly agree,Strongly agree,Slightly agree,Strongly agree,Slightly agree,Strongly agree,Slightly agree
79917,Strongly disagree,Strongly disagree,Strongly disagree,Slightly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Slightly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree
